发送时间戳,当前时间戳,延迟差(ms)
1733300549486,1733300549759,273
1733300549572,1733300549759,187
1733300549564,1733300549759,195
1733300549410,1733300549760,350
1733300549725,1733300549760,35
1733300549563,1733300549760,197
1733300549653,1733300549760,107
1733300549680,1733300549761,81
1733300549708,1733300549761,53
1733300549742,1733300549763,21
1733300549550,1733300549763,213
1733300549568,1733300549772,204
1733300549584,1733300549776,192
1733300549620,1733300549777,157
1733300549518,1733300549777,259
1733300549601,1733300549780,179
1733300549597,1733300549780,183
1733300549508,1733300549780,272
1733300549541,1733300549781,240
1733300549514,1733300549781,267
1733300549617,1733300549781,164
1733300549486,1733300549781,295
1733300549453,1733300549782,329
1733300549491,1733300549782,291
1733300549742,1733300549782,40
1733300549558,1733300549782,224
1733300549659,1733300549782,123
1733300549656,1733300549783,127
1733300549624,1733300549783,159
1733300549588,1733300549783,195
1733300549498,1733300549786,288
1733300549419,1733300549790,371
1733300549440,1733300549790,350
1733300549576,1733300549792,216
1733300549474,1733300549792,318
1733300549474,1733300549792,318
1733300549653,1733300549793,140
1733300549657,1733300549793,136
1733300549421,1733300549795,374
1733300549595,1733300549796,201
1733300549575,1733300549796,221
1733300549503,1733300549796,293
1733300549550,1733300549796,246
1733300549647,1733300549797,150
1733300549552,1733300549801,249
1733300549583,1733300549801,218
1733300549492,1733300549801,309
1733300549490,1733300549802,312
1733300549582,1733300549802,220
1733300549465,1733300549806,341
1733300549519,1733300549807,288
1733300549497,1733300549807,310
1733300549584,1733300549808,224
1733300549596,1733300549808,212
1733300549591,1733300549808,217
1733300549501,1733300549808,307
1733300549512,1733300549808,296
1733300549495,1733300549809,314
1733300549548,1733300549809,261
1733300549511,1733300549809,298
1733300549668,1733300549809,141
1733300549550,1733300549812,262
1733300549710,1733300549812,102
1733300549595,1733300549813,218
1733300549655,1733300549813,158
1733300549628,1733300549813,185
1733300549673,1733300549813,140
1733300549497,1733300549814,317
1733300549576,1733300549814,238
1733300549671,1733300549815,144
1733300549723,1733300549818,95
1733300549579,1733300549818,239
1733300549535,1733300549818,283
1733300549607,1733300549819,212
1733300549484,1733300549819,335
1733300549682,1733300549819,137
1733300549689,1733300549820,131
1733300549611,1733300549820,209
1733300549695,1733300549821,126
1733300549680,1733300549823,143
1733300549504,1733300549824,320
1733300549535,1733300549824,289
1733300549535,1733300549824,289
1733300549586,1733300549824,238
1733300549600,1733300549825,225
1733300549651,1733300549825,174
1733300549588,1733300549825,237
1733300549572,1733300549826,254
1733300549722,1733300549827,105
1733300549664,1733300549828,164
1733300549541,1733300549828,287
